Month,Capacity 1,Capacity Adjustment Rate,Capacity Adjustment Time,Capacity Utilization,Initial Target Capacity,Production,Target Capacity,Utilization Adjustment,Utilization Sensitivity
0,100,0,10,1,100,100,100,1,1
1,100,0,10,1,100,100,100,1,1
2,100,0,10,1,100,100,100,1,1
3,100,0,10,1,100,100,100,1,1
4,100,0,10,1,100,100,100,1,1
5,100,0,10,1,100,100,100,1,1
6,100,0,10,1,100,100,100,1,1
7,100,0,10,1,100,100,100,1,1
8,100,0,10,1,100,100,100,1,1
9,100,0,10,1,100,100,100,1,1
10,100,10,10,2,100,200,200,2,1
11,110,9,10,1.81818181818,100,200,200,1.81818181818,1
12,119,8.1,10,1.68067226891,100,200,200,1.68067226891,1
13,127.1,7.29,10,1.57356412274,100,200,200,1.57356412274,1
14,134.39,6.561,10,1.48820596771,100,200,200,1.48820596771,1
15,140.951,5.9049,10,1.41893282063,100,200,200,1.41893282063,1
16,146.8559,5.31441,10,1.36187922991,100,200,200,1.36187922991,1
17,152.17031,4.782969,10,1.31431683355,100,200,200,1.31431683355,1
18,156.953279,4.3046721,10,1.27426455359,100,200,200,1.27426455359,1
19,161.2579511,3.87420489,10,1.2402489219,100,200,200,1.2402489219,1
20,165.13215599,3.486784401,10,1.21115114619,100,200,200,1.21115114619,1
21,168.618940391,3.1381059609,10,1.18610637415,100,200,200,1.18610637415,1
22,171.757046352,2.82429536481,10,1.1644354875,100,200,200,1.1644354875,1
23,174.581341717,2.54186582833,10,1.14559779432,100,200,200,1.14559779432,1
24,177.123207545,2.2876792455,10,1.12915751003,100,200,200,1.12915751003,1
25,179.410886791,2.05891132095,10,1.11475955321,100,200,200,1.11475955321,1
26,181.469798111,1.85302018885,10,1.10211176781,100,200,200,1.10211176781,1
27,183.3228183,1.66771816997,10,1.09097166329,100,200,200,1.09097166329,1
28,184.99053647,1.50094635297,10,1.08113638576,100,200,200,1.08113638576,1
29,186.491482823,1.35085171767,10,1.07243503549,100,200,200,1.07243503549,1
30,187.842334541,1.21576654591,10,1.06472271274,100,200,200,1.06472271274,1
31,189.058101087,1.09418989132,10,1.05787585324,100,200,200,1.05787585324,1
32,190.152290978,0.984770902184,10,1.05178853734,100,200,200,1.05178853734,1
33,191.13706188,0.886293811965,10,1.04636954253,100,200,200,1.04636954253,1
34,192.023355692,0.797664430769,10,1.04153996934,100,200,200,1.04153996934,1
35,192.821020123,0.717897987692,10,1.03723131364,100,200,200,1.03723131364,1
36,193.538918111,0.646108188923,10,1.03338388967,100,200,200,1.03338388967,1
37,194.1850263,0.58149737003,10,1.02994553087,100,200,200,1.02994553087,1
38,194.76652367,0.523347633027,10,1.02687051261,100,200,200,1.02687051261,1
39,195.289871303,0.471012869725,10,1.02411865329,100,200,200,1.02411865329,1
40,195.760884172,0.423911582752,10,1.02165456008,100,200,200,1.02165456008,1
41,196.184795755,0.381520424477,10,1.01944699246,100,200,200,1.01944699246,1
42,196.56631618,0.343368382029,10,1.01746832258,100,200,200,1.01746832258,1
43,196.909684562,0.309031543826,10,1.01569407541,100,200,200,1.01569407541,1
44,197.218716106,0.278128389444,10,1.01410253524,100,200,200,1.01410253524,1
45,197.496844495,0.250315550499,10,1.01267440759,100,200,200,1.01267440759,1
46,197.747160046,0.225283995449,10,1.01139252748,100,200,200,1.01139252748,1
47,197.972444041,0.202755595904,10,1.01024160695,100,200,200,1.01024160695,1
48,198.175199637,0.182480036314,10,1.00920801577,100,200,200,1.00920801577,1
49,198.357679673,0.164232032683,10,1.00827959033,100,200,200,1.00827959033,1
50,198.521911706,0.147808829414,10,1.00744546676,100,200,200,1.00744546676,1
51,198.669720535,0.133027946473,10,1.00669593465,100,200,200,1.00669593465,1
52,198.802748482,0.119725151826,10,1.00602230868,100,200,200,1.00602230868,1
53,198.922473634,0.107752636643,10,1.00541681564,100,200,200,1.00541681564,1
54,199.03022627,0.0969773729788,10,1.00487249474,100,200,200,1.00487249474,1
55,199.127203643,0.0872796356809,10,1.00438310959,100,200,200,1.00438310959,1
56,199.214483279,0.0785516721128,10,1.00394307034,100,200,200,1.00394307034,1
57,199.293034951,0.0706965049015,10,1.00354736456,100,200,200,1.00354736456,1
58,199.363731456,0.0636268544114,10,1.00319149596,100,200,200,1.00319149596,1
59,199.42735831,0.0572641689702,10,1.00287142995,100,200,200,1.00287142995,1
60,199.484622479,0.0515377520732,10,1.00258354511,100,200,200,1.00258354511,1
61,199.536160231,0.0463839768659,10,1.00232459003,100,200,200,1.00232459003,1
62,199.582544208,0.0417455791793,10,1.00209164481,100,200,200,1.00209164481,1
63,199.624289787,0.0375710212614,10,1.00188208666,100,200,200,1.00188208666,1
64,199.661860809,0.0338139191352,10,1.00169355925,100,200,200,1.00169355925,1
65,199.695674728,0.0304325272217,10,1.00152394524,100,200,200,1.00152394524,1
66,199.726107255,0.0273892744995,10,1.00137134173,100,200,200,1.00137134173,1
67,199.75349653,0.0246503470496,10,1.00123403833,100,200,200,1.00123403833,1
68,199.778146877,0.0221853123446,10,1.00111049745,100,200,200,1.00111049745,1
69,199.800332189,0.0199667811102,10,1.00099933673,100,200,200,1.00099933673,1
70,199.82029897,0.0179701029991,10,1.00089931319,100,200,200,1.00089931319,1
71,199.838269073,0.0161730926992,10,1.00080930909,100,200,200,1.00080930909,1
72,199.854442166,0.0145557834293,10,1.00072831923,100,200,200,1.00072831923,1
73,199.868997949,0.0131002050864,10,1.00065543957,100,200,200,1.00065543957,1
74,199.882098154,0.0117901845777,10,1.00058985696,100,200,200,1.00058985696,1
75,199.893888339,0.01061116612,10,1.00053083995,100,200,200,1.00053083995,1
76,199.904499505,0.00955004950797,10,1.00047773059,100,200,200,1.00047773059,1
77,199.914049554,0.00859504455717,10,1.00042993699,100,200,200,1.00042993699,1
78,199.922644599,0.00773554010145,10,1.00038692666,100,200,200,1.00038692666,1
79,199.930380139,0.00696198609131,10,1.00034822052,100,200,200,1.00034822052,1
80,199.937342125,0.00626578748218,10,1.00031338756,100,200,200,1.00031338756,1
81,199.943607913,0.00563920873396,10,1.00028203996,100,200,200,1.00028203996,1
82,199.949247121,0.00507528786057,10,1.00025382881,100,200,200,1.00025382881,1
83,199.954322409,0.00456775907451,10,1.00022844013,100,200,200,1.00022844013,1
84,199.958890168,0.00411098316706,10,1.00020559142,100,200,200,1.00020559142,1
85,199.963001151,0.00369988485035,10,1.00018502847,100,200,200,1.00018502847,1
86,199.966701036,0.00332989636532,10,1.00016652254,100,200,200,1.00016652254,1
87,199.970030933,0.00299690672878,10,1.00014986779,100,200,200,1.00014986779,1
88,199.973027839,0.0026972160559,10,1.00013487899,100,200,200,1.00013487899,1
89,199.975725055,0.00242749445031,10,1.00012138946,100,200,200,1.00012138946,1
90,199.97815255,0.00218474500528,10,1.00010924918,100,200,200,1.00010924918,1
91,199.980337295,0.00196627050476,10,1.00009832319,100,200,200,1.00009832319,1
92,199.982303565,0.00176964345428,10,1.00008849,100,200,200,1.00008849,1
93,199.984073209,0.00159267910885,10,1.0000796403,100,200,200,1.0000796403,1
94,199.985665888,0.00143341119797,10,1.0000716757,100,200,200,1.0000716757,1
95,199.987099299,0.00129007007817,10,1.00006450766,100,200,200,1.00006450766,1
96,199.988389369,0.00116106307035,10,1.00005805652,100,200,200,1.00005805652,1
97,199.989550432,0.00104495676332,10,1.00005225057,100,200,200,1.00005225057,1
98,199.990595389,0.000940461086984,10,1.00004702527,100,200,200,1.00004702527,1
99,199.99153585,0.000846414978287,10,1.00004232254,100,200,200,1.00004232254,1
100,199.992382265,0.000761773480457,10,1.00003809012,100,200,200,1.00003809012,1
