demand[Boston]
0	3
demand[Dayton]
0	2
demand[Fresno]
0	4
Final Supply
0	10
FINAL TIME
0	12
Initial Supply
0	0
INITIAL TIME
0	0
priority[Boston]
0	1
priority[Dayton]
0	2
priority[Fresno]
0	3
priority width
0	1
SAVEPER
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
shipments[Boston]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0.666667
9	1.5
10	2.33333
11	3
12	3
shipments[Dayton]
0	0
1	0
2	0
3	0
4	0
5	0.166667
6	1
7	1.83333
8	2
9	2
10	2
11	2
12	2
shipments[Fresno]
0	0
1	0.833333
2	1.66667
3	2.5
4	3.33333
5	4
6	4
7	4
8	4
9	4
10	4
11	4
12	4
TIME STEP
0	1
total shipments
0	0
1	0.833333
2	1.66667
3	2.5
4	3.33333
5	4.16667
6	5
7	5.83333
8	6.66667
9	7.5
10	8.33333
11	9
12	9
total supply available
0	0
1	0.833333
2	1.66667
3	2.5
4	3.33333
5	4.16667
6	5
7	5.83333
8	6.66667
9	7.5
10	8.33333
11	9.16667
12	10
