Months,d1,d10,d11[A1],d11[A2],d11[A3],d12[A2],d12[A3],d2[A1],d2[A2],d2[A3],d3[A1],d3[A2],d3[A3],d4[A1],d4[A2],d4[A3],d5[A1],d5[A2],d5[A3],d6[A2],d6[A3],d7,d8[A1],d8[A2],d8[A3],d9[A2],d9[A3],delay 2,delay 4,delay a[A1],delay a[A2],delay a[A3],init 1,init 2[A2],init 2[A3],init a[A1],init a[A2],init a[A3],input,input 2[A2],input 2[A3],input a[A1],input a[A2],input a[A3],k
0,10,420,420,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,5,5,1,2,3,0,0,0,0,0,0,10,20,30,10,20,30,42
1,10,420,420,420,420,10.06425,15.096375,1.8549375,3.709875,5.5648125,6.8359375,4.13818359375,2.93933256173,1.8549375,1.8549375,1.8549375,6.8359375,8.2763671875,8.81799768519,3.709875,5.5648125,10,10,10,10,0.239625,0.3594375,5,5,1,2,3,0,0,0,0,0,0,10,20,30,10,20,30,42
2,10,420,420,420,420,88.3787303109,132.568095466,3.36579568711,6.73159137422,10.0973870613,8.99887084961,6.56391084194,5.01469753261,3.36579568711,3.36579568711,3.36579568711,8.99887084961,13.1278216839,15.0440925978,6.73159137422,10.0973870613,10,10,10,10,2.10425548359,3.15638322539,5,5,1,2,3,0,0,0,0,0,0,10,20,30,10,20,30,42
3,10,420,420,420,420,221.912807572,332.869211358,4.59639912337,9.19279824675,13.7891973701,9.68323647976,7.98582762,6.48004371986,4.59639912337,4.59639912337,4.59639912337,9.68323647976,15.97165524,19.4401311596,9.19279824675,13.7891973701,10,10,10,10,5.28363827553,7.9254574133,5,5,1,2,3,0,0,0,0,0,0,10,20,30,10,20,30,42
4,10,420,420,420,420,368.441371358,552.662057036,5.59873331348,11.197466627,16.7961999404,9.89977404242,8.81932912979,7.51467593087,5.59873331348,5.59873331348,5.59873331348,9.89977404242,17.6386582596,22.5440277926,11.197466627,16.7961999404,10,10,10,10,8.77241360375,13.1586204056,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
5,8.1450625,414.967875,109.921875,356.323242188,398.671875,499.887126474,749.830689711,6.41514077591,12.8302815518,19.2454223277,3.13235038061,5.16972881851,5.30586276542,4.56020327591,4.56020327591,4.56020327591,9.96828788061,18.6158248245,24.7355859815,12.8302815518,19.2454223277,9.8801875,2.6171875,8.48388671875,9.4921875,11.9020744399,17.8531116598,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
6,6.63420431289,375.810634845,1.77520751953,155.288726091,284.988098145,604.944829544,907.417244316,7.08010975661,14.1602195132,21.2403292698,0.991095237615,3.03040012042,3.74629324598,3.7143140695,3.7143140695,3.7143140695,9.98996608722,19.1886219247,26.2829723358,14.1602195132,21.2403292698,8.9478722582,0.0422668457031,3.69735062122,6.7854309082,14.4034483225,21.6051724837,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
7,5.40360087663,309.043596214,0.0157964229584,47.6887862533,164.083503485,682.856474289,1024.28471143,7.62173114745,15.2434622949,22.8651934423,0.313588727527,1.77636491434,2.64513307361,3.02533202407,3.02533202407,3.02533202407,9.99682520729,19.5243850687,27.3755303804,15.2434622949,22.8651934423,7.35818086223,0.000376105308533,1.13544729174,3.90675008297,16.2584874831,24.3877312246,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
8,4.40126668652,235.779314321,0.000110403634608,12.2493161447,82.7866409579,737.682959973,1106.52443996,8.06288515541,16.1257703108,24.1886554662,0.099221433319,1.04127249984,1.86764049627,2.46415184193,2.46415184193,2.46415184193,9.99899547574,19.7212032592,28.1469492814,16.1257703108,24.1886554662,5.61379319812,0.00000262865796685,0.291650384399,1.971110499,17.5638799994,26.345819999,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
9,3.58485922409,170.056436763,6.76500349073e-7,2.8279650782,38.3293816352,774.795301886,1162.19295283,8.42220785212,16.8444157042,25.2666235564,0.0313942816361,0.610374822291,1.31867884384,2.0070670762,2.0070670762,2.0070670762,9.99968216225,19.8365744691,28.691622513,16.8444157042,25.2666235564,4.04896278007,1.61071511684e-8,0.0673325018618,0.912604324649,18.4475071878,27.6712607816,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
10,2.91989024339,117.527585228,3.81540132821e-9,0.608359432687,16.716498684,799.177120818,1198.76568123,8.71487843435,17.4297568687,26.144635303,0.00993334692392,0.357790514727,0.931075277426,1.63476867774,1.63476867774,1.63476867774,9.99989943415,19.9042029542,29.076198168,17.4297568687,26.144635303,2.79827583877,9.08428887669e-11,0.0144847483973,0.398011873429,19.0280266861,28.5420400292,5,5,1,2,3,0,0,0,0,0,0,0,20,30,10,20,30,42
