,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,0.1184,0.0004,0.0001,0.0002,0.0000,0.2249,0.0176,0.0462,0.0026,0.0000,0.0016,0.0021,0.0027,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0015,0.0005,0.0000,0.0004,0.0004,0.0021,0.0001,0.0404,0.0001,0.0000,0.0000,0.0000,0.0001,0.0005,0.0009,0.0008,0.0018,0.0015,0.0000
ISIC 05,0.0001,0.0103,0.0007,0.0009,0.0006,0.0001,0.0002,0.0000,0.0003,0.0023,0.0005,0.0000,0.0001,0.0025,0.0000,0.0097,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0188,0.0000,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0001,0.0000,0.0001,0.0000
ISIC 06,0.0022,0.0150,0.0630,0.0144,0.0131,0.0024,0.0016,0.0016,0.0053,0.5228,0.0215,0.0006,0.0025,0.0171,0.0000,0.0178,0.0135,0.0023,0.0002,0.0008,0.0008,0.0012,0.0008,0.0012,0.1413,0.0000,0.0031,0.0015,0.0020,0.0069,0.0009,0.0003,0.0004,0.0003,0.0003,0.0006,0.0008,0.0020,0.0008,0.0006,0.0008,0.0000
ISIC 07T08,0.0010,0.0031,0.0023,0.0324,0.0032,0.0006,0.0007,0.0002,0.0009,0.0016,0.0049,0.0003,0.0012,0.0595,0.0000,0.0500,0.0739,0.0017,0.0001,0.0008,0.0005,0.0004,0.0002,0.0008,0.0016,0.0000,0.0010,0.0100,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0004,0.0001,0.0003,0.0001,0.0001,0.0001,0.0000
ISIC 09,0.0001,0.0033,0.0170,0.0049,0.0108,0.0001,0.0000,0.0001,0.0001,0.0010,0.0001,0.0000,0.0001,0.0010,0.0000,0.0003,0.0003,0.0003,0.0000,0.0001,0.0002,0.0001,0.0001,0.0001,0.0005,0.0000,0.0001,0.0009,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0003,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000
ISIC 10T12,0.0360,0.0002,0.0002,0.0003,0.0001,0.0652,0.0023,0.0004,0.0011,0.0002,0.0030,0.0023,0.0012,0.0004,0.0000,0.0002,0.0002,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002,0.0005,0.0001,0.0000,0.0005,0.0002,0.0017,0.0003,0.0690,0.0006,0.0003,0.0002,0.0001,0.0002,0.0003,0.0012,0.0019,0.0025,0.0018,0.0000
ISIC 13T15,0.0007,0.0003,0.0003,0.0004,0.0001,0.0004,0.1015,0.0006,0.0026,0.0001,0.0015,0.0006,0.0035,0.0010,0.0000,0.0002,0.0002,0.0004,0.0002,0.0004,0.0004,0.0022,0.0005,0.0053,0.0001,0.0000,0.0004,0.0004,0.0006,0.0001,0.0010,0.0002,0.0001,0.0001,0.0000,0.0001,0.0003,0.0007,0.0003,0.0009,0.0013,0.0000
ISIC 16,0.0025,0.0020,0.0006,0.0014,0.0003,0.0023,0.0022,0.2046,0.0151,0.0001,0.0018,0.0005,0.0026,0.0063,0.0000,0.0006,0.0010,0.0027,0.0004,0.0018,0.0016,0.0037,0.0020,0.0528,0.0008,0.0000,0.0009,0.0262,0.0015,0.0007,0.0018,0.0006,0.0002,0.0001,0.0001,0.0016,0.0009,0.0004,0.0006,0.0007,0.0024,0.0000
ISIC 17T18,0.0013,0.0004,0.0008,0.0009,0.0003,0.0136,0.0078,0.0045,0.1754,0.0002,0.0029,0.0059,0.0054,0.0065,0.0000,0.0008,0.0011,0.0025,0.0011,0.0027,0.0024,0.0022,0.0012,0.0057,0.0005,0.0000,0.0017,0.0011,0.0044,0.0012,0.0033,0.0273,0.0027,0.0034,0.0030,0.0008,0.0044,0.0056,0.0071,0.0038,0.0052,0.0000
ISIC 19,0.0307,0.0248,0.0199,0.0388,0.0154,0.0107,0.0111,0.0120,0.0134,0.0575,0.0524,0.0061,0.0166,0.0239,0.0000,0.0293,0.0096,0.0060,0.0011,0.0068,0.0044,0.0078,0.0030,0.0077,0.0266,0.0000,0.0246,0.0113,0.0144,0.0853,0.0077,0.0030,0.0043,0.0027,0.0031,0.0021,0.0066,0.0155,0.0057,0.0066,0.0093,0.0000
